"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"G***";"OSH_LOGO";1;"LOGO";;;
2;"J1";"USB-MICRO-TH-NO-SILK";1;"M_USB_B";;;
3;"J5,J4";"RJ9-4P4C-NO-SILK";2;"RJ9_4P4C";;;
4;"J2,J3";"JACK-3.5MM-NO-SILK";2;"PJ313D";;;
5;"SW1";"SWITCH-SPDT-NO-SILK";1;"SWITCH_INV";;;
6;"C12,C15,C14,C16,C10,C3,C11";"CHIP-0603-NO-SILK";7;"1u";;;
7;"F1";"FUSE-1206-NO-SILK";1;"200mA";;;
8;"U2";"TSSOP-14-NO-SILK";1;"MCP6024";;;
9;"R4,R3,R5";"CHIP-0603-NO-SILK";3;"18k";;;
10;"C7,C1,C6,C8";"CHIP-0603-NO-SILK";4;"220n";;;
11;"R7,R2,R6,R10,R9";"CHIP-0603-NO-SILK";5;"2.4k";;;
12;"U3";"SC-70-NO-SILK";1;"TC1017";;;
13;"R15,R8";"CHIP-0603-NO-SILK";2;"3.3k";;;
14;"C5";"CHIP-0603-NO-SILK";1;"2.2n";;;
15;"R13,R14,R11";"CHIP-0603-NO-SILK";3;"100k";;;
16;"U1";"TSSOP-14-NO-SILK";1;"TPA6139A2";;;
17;"C13,C9,C4,C2";"CHIP-0603-NO-SILK";4;"22n";;;
18;"R1";"CHIP-0603-NO-SILK";1;"27.3k";;;
19;"R12";"CHIP-0603-NO-SILK";1;"43k";;;
